Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Day
131,CUST131,Female,21,Beauty,2,300,600,2023,September,Monday
132,CUST132,Male,42,Electronics,4,50,200,2023,September,Sunday
133,CUST133,Male,20,Electronics,3,300,900,2023,February,Thursday
134,CUST134,Male,49,Electronics,1,50,50,2023,January,Wednesday
135,CUST135,Male,20,Clothing,2,25,50,2023,February,Sunday
136,CUST136,Male,44,Electronics,2,300,600,2023,March,Monday
137,CUST137,Male,46,Beauty,2,500,1000,2023,November,Saturday
138,CUST138,Male,49,Clothing,4,50,200,2023,March,Thursday
139,CUST139,Male,36,Beauty,4,500,2000,2023,December,Friday
140,CUST140,Male,38,Electronics,1,30,30,2023,August,Saturday
141,CUST141,Female,22,Electronics,1,50,50,2023,November,Thursday
142,CUST142,Male,35,Electronics,4,300,1200,2023,February,Thursday
143,CUST143,Female,45,Clothing,1,50,50,2023,July,Monday
144,CUST144,Female,59,Beauty,3,500,1500,2023,July,Saturday
145,CUST145,Female,39,Clothing,3,25,75,2023,November,Thursday
146,CUST146,Male,38,Clothing,4,50,200,2023,August,Monday
147,CUST147,Male,23,Electronics,1,300,300,2023,September,Thursday
148,CUST148,Male,18,Clothing,2,30,60,2023,May,Tuesday
149,CUST149,Male,22,Clothing,3,25,75,2023,October,Wednesday
150,CUST150,Female,58,Electronics,4,30,120,2023,January,Friday
151,CUST151,Male,29,Clothing,1,50,50,2023,December,Friday
152,CUST152,Male,43,Electronics,4,500,2000,2023,February,Tuesday
153,CUST153,Male,63,Electronics,2,500,1000,2023,December,Saturday
154,CUST154,Male,51,Electronics,3,300,900,2023,October,Monday
155,CUST155,Male,31,Electronics,4,500,2000,2023,May,Wednesday
156,CUST156,Female,43,Clothing,4,25,100,2023,November,Saturday
157,CUST157,Male,62,Electronics,4,500,2000,2023,June,Saturday
158,CUST158,Female,44,Electronics,2,300,600,2023,February,Monday
159,CUST159,Male,26,Clothing,4,50,200,2023,May,Wednesday
160,CUST160,Female,43,Clothing,2,50,100,2023,August,Friday
161,CUST161,Male,64,Beauty,2,500,1000,2023,March,Wednesday
162,CUST162,Male,39,Clothing,2,30,60,2023,August,Monday
163,CUST163,Female,64,Clothing,3,50,150,2023,January,Monday
164,CUST164,Female,47,Beauty,3,500,1500,2023,May,Monday
165,CUST165,Female,60,Clothing,4,300,1200,2023,September,Thursday
166,CUST166,Male,34,Clothing,4,500,2000,2023,April,Sunday
167,CUST167,Female,43,Clothing,3,50,150,2023,September,Sunday
168,CUST168,Male,53,Clothing,1,300,300,2023,February,Friday
169,CUST169,Male,18,Beauty,3,500,1500,2023,November,Friday
170,CUST170,Female,25,Clothing,2,25,50,2023,June,Friday
171,CUST171,Female,52,Clothing,3,300,900,2023,November,Friday
172,CUST172,Male,32,Beauty,2,25,50,2023,September,Sunday
173,CUST173,Male,64,Electronics,4,30,120,2023,November,Wednesday
174,CUST174,Female,39,Beauty,1,300,300,2023,April,Wednesday
175,CUST175,Female,31,Electronics,4,25,100,2023,March,Monday
176,CUST176,Female,43,Beauty,2,50,100,2023,July,Tuesday
177,CUST177,Male,45,Beauty,2,50,100,2023,March,Friday
178,CUST178,Male,40,Clothing,2,30,60,2023,October,Wednesday
179,CUST179,Male,31,Electronics,1,300,300,2023,September,Friday
180,CUST180,Male,41,Clothing,3,300,900,2023,January,Sunday
181,CUST181,Male,19,Electronics,4,300,1200,2023,November,Friday
182,CUST182,Male,62,Beauty,4,30,120,2023,June,Thursday
183,CUST183,Female,43,Beauty,3,300,900,2023,September,Friday
184,CUST184,Male,31,Electronics,4,50,200,2023,January,Tuesday
185,CUST185,Male,24,Clothing,1,25,25,2023,February,Monday
186,CUST186,Male,20,Clothing,4,50,200,2023,July,Wednesday
187,CUST187,Female,64,Clothing,2,50,100,2023,June,Wednesday
188,CUST188,Male,40,Clothing,3,25,75,2023,May,Wednesday
189,CUST189,Male,63,Beauty,1,50,50,2023,January,Monday
190,CUST190,Female,60,Beauty,3,30,90,2023,May,Thursday
191,CUST191,Male,64,Beauty,1,25,25,2023,October,Wednesday
192,CUST192,Male,62,Beauty,2,50,100,2023,February,Friday
193,CUST193,Male,35,Beauty,3,500,1500,2023,February,Monday
194,CUST194,Male,55,Clothing,4,50,200,2023,September,Wednesday
195,CUST195,Male,52,Clothing,1,30,30,2023,February,Sunday
196,CUST196,Female,32,Clothing,3,300,900,2023,September,Saturday
197,CUST197,Female,42,Clothing,4,50,200,2023,March,Monday
198,CUST198,Female,54,Beauty,3,300,900,2023,March,Tuesday
199,CUST199,Male,45,Beauty,3,500,1500,2023,December,Monday
200,CUST200,Male,27,Beauty,3,50,150,2023,September,Friday
201,CUST201,Male,56,Electronics,1,25,25,2023,October,Monday
202,CUST202,Female,34,Clothing,4,300,1200,2023,March,Sunday
203,CUST203,Male,56,Clothing,2,500,1000,2023,May,Tuesday
204,CUST204,Male,39,Beauty,1,25,25,2023,September,Thursday
205,CUST205,Female,43,Clothing,1,25,25,2023,November,Tuesday
206,CUST206,Male,61,Clothing,1,25,25,2023,August,Saturday
207,CUST207,Female,42,Beauty,2,25,50,2023,April,Wednesday
208,CUST208,Female,34,Electronics,4,50,200,2023,October,Wednesday
209,CUST209,Female,30,Electronics,4,50,200,2023,December,Wednesday
210,CUST210,Male,37,Electronics,4,50,200,2023,April,Thursday
211,CUST211,Male,42,Beauty,3,500,1500,2024,January,Monday
212,CUST212,Male,21,Clothing,3,500,1500,2023,June,Friday
213,CUST213,Male,27,Beauty,3,500,1500,2023,July,Monday
214,CUST214,Male,20,Beauty,2,30,60,2023,December,Sunday
215,CUST215,Male,58,Clothing,3,500,1500,2023,November,Wednesday
216,CUST216,Male,62,Electronics,2,50,100,2023,July,Tuesday
217,CUST217,Female,35,Electronics,4,50,200,2023,August,Sunday
218,CUST218,Male,64,Beauty,3,30,90,2023,September,Friday
219,CUST219,Female,53,Electronics,3,30,90,2023,August,Sunday
220,CUST220,Male,64,Beauty,1,500,500,2023,March,Friday
221,CUST221,Male,39,Beauty,2,300,600,2023,May,Sunday
222,CUST222,Male,51,Clothing,4,30,120,2023,April,Wednesday
223,CUST223,Female,64,Clothing,1,25,25,2023,February,Thursday
224,CUST224,Female,25,Clothing,1,50,50,2023,June,Friday
225,CUST225,Female,57,Beauty,4,25,100,2023,January,Wednesday
226,CUST226,Female,61,Clothing,1,50,50,2023,October,Sunday
227,CUST227,Male,36,Electronics,2,50,100,2023,October,Wednesday
228,CUST228,Female,59,Electronics,2,30,60,2023,April,Friday
229,CUST229,Male,58,Beauty,3,30,90,2023,October,Sunday
230,CUST230,Male,54,Beauty,1,25,25,2023,April,Sunday
231,CUST231,Female,23,Clothing,3,50,150,2023,January,Wednesday
232,CUST232,Female,43,Beauty,1,25,25,2023,February,Monday
233,CUST233,Female,51,Beauty,2,300,600,2023,December,Friday
234,CUST234,Female,62,Electronics,2,25,50,2023,November,Monday
235,CUST235,Female,23,Electronics,2,500,1000,2023,January,Tuesday
236,CUST236,Female,54,Clothing,1,25,25,2023,April,Friday
237,CUST237,Female,50,Beauty,2,500,1000,2023,February,Saturday
238,CUST238,Female,39,Beauty,1,500,500,2023,January,Tuesday
239,CUST239,Male,38,Electronics,3,500,1500,2023,June,Monday
240,CUST240,Female,23,Beauty,1,300,300,2023,February,Monday
241,CUST241,Female,23,Electronics,3,25,75,2023,September,Thursday
242,CUST242,Male,21,Clothing,1,25,25,2023,May,Tuesday
243,CUST243,Female,47,Electronics,3,300,900,2023,May,Tuesday
244,CUST244,Male,28,Beauty,2,50,100,2023,December,Saturday
245,CUST245,Male,47,Clothing,3,30,90,2023,September,Wednesday
246,CUST246,Female,48,Electronics,2,25,50,2023,April,Thursday
247,CUST247,Male,41,Electronics,2,30,60,2023,October,Wednesday
248,CUST248,Male,26,Clothing,3,300,900,2023,March,Thursday
249,CUST249,Male,20,Clothing,1,50,50,2023,October,Friday
250,CUST250,Male,48,Electronics,1,50,50,2023,October,Monday
251,CUST251,Female,57,Beauty,4,50,200,2023,August,Thursday
252,CUST252,Male,54,Electronics,1,300,300,2023,May,Friday
253,CUST253,Female,53,Clothing,4,500,2000,2023,August,Thursday
254,CUST254,Male,41,Electronics,1,500,500,2023,July,Friday
255,CUST255,Male,48,Clothing,1,30,30,2023,April,Saturday
256,CUST256,Male,23,Clothing,2,500,1000,2023,February,Saturday
257,CUST257,Male,19,Beauty,4,500,2000,2023,February,Sunday
258,CUST258,Female,37,Clothing,1,50,50,2023,December,Monday
259,CUST259,Female,45,Clothing,4,50,200,2023,August,Wednesday
260,CUST260,Male,28,Beauty,2,30,60,2023,July,Saturday
261,CUST261,Male,21,Clothing,2,25,50,2023,August,Saturday
262,CUST262,Female,32,Beauty,4,30,120,2023,July,Sunday
263,CUST263,Male,23,Beauty,2,30,60,2023,August,Monday
264,CUST264,Male,47,Clothing,3,300,900,2023,January,Saturday
265,CUST265,Male,55,Clothing,3,300,900,2023,December,Monday
266,CUST266,Female,19,Electronics,2,30,60,2023,December,Friday
267,CUST267,Female,32,Beauty,3,30,90,2023,November,Monday
268,CUST268,Female,28,Electronics,1,30,30,2023,February,Monday
269,CUST269,Male,25,Clothing,4,500,2000,2023,February,Wednesday
270,CUST270,Male,43,Electronics,1,300,300,2023,July,Wednesday
271,CUST271,Female,62,Beauty,4,30,120,2023,June,Friday
272,CUST272,Female,61,Electronics,2,50,100,2023,February,Saturday
273,CUST273,Female,22,Beauty,1,50,50,2023,May,Monday
274,CUST274,Female,23,Clothing,2,500,1000,2023,April,Sunday
275,CUST275,Male,43,Clothing,2,500,1000,2023,April,Saturday
276,CUST276,Female,21,Beauty,4,25,100,2023,October,Monday
277,CUST277,Male,36,Clothing,4,25,100,2023,August,Friday
278,CUST278,Female,37,Clothing,4,25,100,2023,March,Monday
279,CUST279,Male,50,Clothing,1,500,500,2023,August,Saturday
280,CUST280,Female,37,Clothing,3,500,1500,2023,April,Tuesday
281,CUST281,Female,29,Beauty,4,500,2000,2023,May,Tuesday
282,CUST282,Female,64,Electronics,4,50,200,2023,August,Friday
283,CUST283,Female,18,Electronics,1,500,500,2023,May,Monday
284,CUST284,Male,43,Clothing,4,50,200,2023,February,Wednesday
285,CUST285,Female,31,Electronics,1,25,25,2023,August,Tuesday
286,CUST286,Male,55,Electronics,2,25,50,2023,October,Monday
287,CUST287,Male,54,Clothing,4,25,100,2023,February,Monday
288,CUST288,Male,28,Clothing,4,30,120,2023,January,Thursday
289,CUST289,Male,53,Electronics,2,30,60,2023,November,Thursday
290,CUST290,Female,30,Beauty,2,300,600,2023,October,Wednesday
291,CUST291,Male,60,Clothing,2,300,600,2023,January,Sunday
292,CUST292,Male,20,Beauty,4,300,1200,2023,February,Friday
293,CUST293,Male,50,Electronics,3,30,90,2023,May,Tuesday
294,CUST294,Female,23,Clothing,3,30,90,2023,March,Monday
295,CUST295,Female,27,Beauty,3,300,900,2023,July,Friday
296,CUST296,Female,22,Clothing,4,300,1200,2023,September,Wednesday
297,CUST297,Female,40,Electronics,2,500,1000,2023,September,Monday
298,CUST298,Male,27,Beauty,4,300,1200,2023,April,Thursday
299,CUST299,Male,61,Electronics,2,500,1000,2023,July,Tuesday
300,CUST300,Female,19,Electronics,4,50,200,2023,January,Tuesday
301,CUST301,Male,30,Clothing,4,30,120,2023,March,Sunday
302,CUST302,Male,57,Beauty,2,300,600,2023,July,Friday
303,CUST303,Male,19,Electronics,3,30,90,2023,January,Monday
304,CUST304,Female,37,Electronics,2,30,60,2023,July,Wednesday
305,CUST305,Female,18,Beauty,1,30,30,2023,May,Tuesday
306,CUST306,Male,54,Electronics,1,50,50,2023,August,Monday
307,CUST307,Female,26,Electronics,2,25,50,2023,May,Saturday
308,CUST308,Female,34,Beauty,4,300,1200,2023,August,Saturday
309,CUST309,Female,26,Beauty,1,25,25,2023,December,Saturday
310,CUST310,Female,28,Beauty,1,25,25,2023,October,Thursday
311,CUST311,Female,32,Beauty,4,25,100,2023,December,Tuesday
312,CUST312,Male,41,Clothing,4,30,120,2023,September,Thursday
313,CUST313,Female,55,Beauty,3,500,1500,2023,March,Tuesday
314,CUST314,Male,52,Clothing,4,30,120,2023,April,Saturday
315,CUST315,Male,47,Clothing,2,30,60,2023,June,Thursday
316,CUST316,Female,48,Clothing,2,25,50,2023,April,Saturday
317,CUST317,Male,22,Electronics,3,30,90,2023,January,Monday
318,CUST318,Male,61,Clothing,1,25,25,2023,October,Tuesday
319,CUST319,Male,31,Clothing,1,500,500,2023,October,Thursday
320,CUST320,Female,28,Electronics,4,300,1200,2023,February,Wednesday
321,CUST321,Female,26,Electronics,2,25,50,2023,June,Saturday
322,CUST322,Male,51,Electronics,1,500,500,2023,January,Monday
323,CUST323,Female,29,Beauty,3,300,900,2023,January,Thursday
324,CUST324,Female,52,Electronics,3,50,150,2023,October,Friday
325,CUST325,Female,52,Electronics,2,25,50,2023,September,Saturday
326,CUST326,Female,18,Clothing,3,25,75,2023,September,Friday
327,CUST327,Male,57,Electronics,3,50,150,2023,September,Friday
328,CUST328,Male,39,Beauty,2,50,100,2023,March,Wednesday
329,CUST329,Female,46,Electronics,4,25,100,2023,January,Monday
330,CUST330,Female,25,Beauty,4,50,200,2023,September,Monday
331,CUST331,Male,28,Electronics,3,30,90,2023,February,Saturday
332,CUST332,Male,58,Electronics,4,300,1200,2023,April,Thursday
333,CUST333,Female,54,Electronics,4,300,1200,2023,February,Sunday
334,CUST334,Male,31,Electronics,3,300,900,2023,November,Wednesday
335,CUST335,Female,47,Beauty,4,30,120,2023,February,Saturday
336,CUST336,Female,52,Beauty,3,50,150,2023,December,Tuesday
337,CUST337,Male,38,Clothing,1,500,500,2023,May,Monday
338,CUST338,Male,54,Beauty,2,50,100,2023,July,Wednesday
339,CUST339,Female,22,Electronics,2,25,50,2023,March,Friday
340,CUST340,Female,36,Clothing,4,300,1200,2023,October,Thursday
341,CUST341,Male,31,Clothing,4,50,200,2023,May,Sunday
342,CUST342,Female,43,Clothing,4,500,2000,2023,October,Tuesday
343,CUST343,Male,21,Electronics,2,25,50,2023,November,Wednesday
344,CUST344,Female,42,Beauty,1,30,30,2023,January,Saturday
345,CUST345,Male,62,Electronics,1,30,30,2023,November,Tuesday
346,CUST346,Male,59,Clothing,2,500,1000,2023,February,Saturday
347,CUST347,Male,42,Electronics,1,25,25,2023,August,Thursday
348,CUST348,Female,35,Electronics,2,300,600,2023,December,Sunday
349,CUST349,Female,57,Beauty,1,50,50,2023,October,Thursday
350,CUST350,Male,25,Beauty,3,25,75,2023,October,Tuesday
351,CUST351,Female,56,Clothing,3,30,90,2023,September,Monday
352,CUST352,Male,57,Electronics,2,500,1000,2023,June,Sunday
353,CUST353,Male,31,Electronics,1,500,500,2023,May,Sunday
354,CUST354,Female,49,Beauty,4,50,200,2023,April,Saturday
355,CUST355,Female,55,Electronics,1,500,500,2023,December,Saturday
356,CUST356,Male,50,Electronics,3,500,1500,2023,June,Saturday
357,CUST357,Female,40,Electronics,3,25,75,2023,May,Wednesday
358,CUST358,Female,32,Beauty,1,300,300,2023,May,Tuesday
359,CUST359,Male,50,Clothing,1,50,50,2023,July,Saturday
360,CUST360,Male,42,Clothing,4,25,100,2023,March,Thursday
361,CUST361,Female,34,Electronics,4,300,1200,2023,December,Sunday
362,CUST362,Male,50,Clothing,1,25,25,2023,November,Monday
363,CUST363,Male,64,Beauty,1,25,25,2023,June,Saturday
364,CUST364,Female,19,Beauty,1,500,500,2023,August,Wednesday
365,CUST365,Male,31,Clothing,1,300,300,2023,June,Sunday
366,CUST366,Male,57,Clothing,2,50,100,2023,February,Tuesday
367,CUST367,Female,57,Electronics,1,50,50,2023,January,Thursday
368,CUST368,Female,56,Clothing,4,300,1200,2023,August,Wednesday
369,CUST369,Male,23,Electronics,3,500,1500,2023,November,Wednesday
370,CUST370,Male,23,Electronics,2,30,60,2023,October,Monday
371,CUST371,Female,20,Beauty,1,25,25,2023,February,Tuesday
372,CUST372,Female,24,Beauty,3,500,1500,2023,February,Tuesday
373,CUST373,Female,25,Beauty,2,300,600,2023,October,Tuesday
374,CUST374,Female,59,Beauty,3,25,75,2023,April,Thursday
375,CUST375,Male,32,Clothing,1,50,50,2023,September,Sunday
376,CUST376,Female,64,Beauty,1,30,30,2023,May,Tuesday
377,CUST377,Female,46,Clothing,4,50,200,2023,March,Thursday
378,CUST378,Male,50,Beauty,1,300,300,2023,June,Wednesday
379,CUST379,Female,47,Clothing,1,25,25,2023,February,Sunday
380,CUST380,Male,56,Electronics,2,300,600,2023,May,Saturday
381,CUST381,Female,44,Clothing,4,25,100,2023,July,Sunday
382,CUST382,Female,53,Clothing,2,500,1000,2023,May,Friday
383,CUST383,Female,46,Beauty,3,30,90,2023,March,Wednesday
384,CUST384,Male,55,Clothing,1,500,500,2023,August,Sunday
385,CUST385,Male,50,Electronics,3,500,1500,2023,October,Friday
386,CUST386,Female,54,Electronics,2,300,600,2023,December,Wednesday
387,CUST387,Male,44,Beauty,1,30,30,2023,June,Sunday
388,CUST388,Male,50,Electronics,1,25,25,2023,November,Friday
389,CUST389,Male,21,Clothing,2,25,50,2023,December,Friday
390,CUST390,Male,39,Electronics,2,50,100,2023,September,Thursday
391,CUST391,Male,19,Beauty,2,25,50,2023,January,Thursday
392,CUST392,Male,27,Clothing,2,300,600,2023,December,Friday
393,CUST393,Female,22,Beauty,2,500,1000,2023,October,Wednesday
394,CUST394,Female,27,Clothing,1,500,500,2023,June,Saturday
395,CUST395,Male,50,Electronics,2,500,1000,2023,December,Wednesday
396,CUST396,Female,55,Beauty,1,30,30,2023,February,Thursday
397,CUST397,Female,30,Beauty,1,25,25,2023,March,Friday
398,CUST398,Female,48,Clothing,2,300,600,2023,May,Tuesday
399,CUST399,Female,64,Beauty,2,30,60,2023,March,Wednesday
400,CUST400,Male,53,Clothing,4,50,200,2023,February,Friday
401,CUST401,Female,62,Clothing,1,300,300,2023,October,Wednesday
402,CUST402,Female,41,Clothing,2,300,600,2023,March,Tuesday
403,CUST403,Male,32,Clothing,2,300,600,2023,May,Saturday
404,CUST404,Male,46,Electronics,2,500,1000,2023,May,Thursday
405,CUST405,Female,25,Clothing,4,300,1200,2023,November,Monday
406,CUST406,Female,22,Beauty,4,25,100,2023,April,Tuesday
407,CUST407,Female,46,Electronics,3,300,900,2023,June,Sunday
408,CUST408,Female,64,Beauty,1,500,500,2023,April,Saturday
409,CUST409,Female,21,Electronics,3,300,900,2023,December,Monday
410,CUST410,Female,29,Clothing,2,50,100,2023,November,Tuesday
411,CUST411,Male,62,Electronics,4,50,200,2023,May,Tuesday
412,CUST412,Female,19,Electronics,4,500,2000,2023,September,Saturday
413,CUST413,Female,44,Beauty,3,25,75,2023,September,Friday
414,CUST414,Male,48,Beauty,4,25,100,2023,May,Tuesday
415,CUST415,Male,53,Clothing,2,30,60,2023,January,Friday
416,CUST416,Male,53,Electronics,4,500,2000,2023,February,Friday
417,CUST417,Male,43,Electronics,3,300,900,2023,November,Tuesday
418,CUST418,Female,60,Electronics,2,500,1000,2023,August,Saturday
