,StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Grade_Class
31,1032,15,Male,Caucasian,Bachelor's,8.1,17,No,Very High,No,No,No,Yes,1.8,4.0,A
32,1033,18,Male,Caucasian,Bachelor's,7.7,25,No,Low,No,Yes,No,No,0.4,4.0,A
33,1034,16,Male,Other,Bachelor's,15.9,21,No,None,Yes,Yes,No,No,0.9,4.0,A
34,1035,16,Male,Caucasian,Bachelor's,9.1,27,Yes,Moderate,Yes,Yes,No,No,1.1,4.0,A
35,1036,15,Male,Other,High School,3.4,23,No,Low,No,No,No,No,0.3,4.0,A
36,1037,18,Male,Caucasian,High School,5.3,26,Yes,Low,No,No,No,No,0.2,4.0,A
37,1038,15,Male,Asian,High School,10.2,21,Yes,Low,No,Yes,No,No,1.1,4.0,A
38,1039,15,Female,African American,High School,2.9,3,Yes,Low,Yes,Yes,No,No,3.0,1.0,F
39,1040,17,Female,Asian,High School,12.2,21,Yes,High,Yes,Yes,No,No,1.5,4.0,A
40,1041,17,Female,Other,Some College,11.3,23,Yes,Low,No,No,No,No,1.1,4.0,A
41,1042,17,Male,Caucasian,High School,14.3,7,No,Moderate,No,No,No,No,2.6,2.0,D
42,1043,16,Female,Other,Some College,18.8,12,Yes,Very High,No,No,No,No,2.8,2.0,D
43,1044,18,Female,Caucasian,High School,18.2,9,No,Moderate,No,Yes,No,No,2.9,2.0,D
44,1045,18,Female,Caucasian,High School,18.9,1,Yes,High,Yes,Yes,No,No,4.0,0.0,F
45,1046,18,Male,Caucasian,Some College,4.9,7,No,Very High,No,No,Yes,No,2.5,2.0,D
46,1047,18,Male,African American,Some College,2.6,5,No,Low,Yes,No,No,No,2.6,2.0,D
47,1048,17,Male,Caucasian,Some College,6.0,15,No,Moderate,No,No,No,No,1.7,4.0,A
48,1049,16,Male,African American,Some College,17.9,17,No,High,No,No,Yes,No,2.1,3.0,B
49,1050,16,Female,African American,High School,19.4,16,No,Very High,Yes,No,No,No,2.5,3.0,B
50,1051,17,Female,Asian,Some College,17.2,5,No,High,No,No,No,No,2.9,2.0,D
51,1052,16,Female,Asian,None,2.2,12,Yes,Low,Yes,No,Yes,No,2.0,4.0,A
52,1053,17,Female,Caucasian,High School,18.9,22,No,Very High,No,No,Yes,No,1.6,4.0,A
53,1054,18,Male,Caucasian,Some College,8.5,13,No,Low,No,Yes,No,No,1.7,4.0,A
54,1055,17,Male,Caucasian,None,0.2,29,Yes,Moderate,Yes,Yes,No,No,0.8,4.0,A
55,1056,18,Male,Caucasian,High School,8.8,25,No,Moderate,No,Yes,No,No,0.8,4.0,A
56,1057,18,Female,Caucasian,Higher,0.9,20,No,Moderate,No,Yes,Yes,No,1.3,4.0,A
57,1058,15,Male,Caucasian,Higher,10.9,29,No,High,Yes,No,No,No,0.3,4.0,A
58,1059,17,Male,Caucasian,High School,6.8,9,Yes,High,No,Yes,No,No,2.6,2.0,D
59,1060,15,Female,Other,None,9.5,23,No,High,No,Yes,No,No,0.9,4.0,A
60,1061,17,Female,African American,High School,12.3,10,No,None,Yes,No,Yes,No,1.9,4.0,A
61,1062,17,Male,Caucasian,High School,17.4,12,No,Moderate,No,No,Yes,No,2.3,3.0,B
62,1063,15,Male,African American,Bachelor's,13.2,11,No,High,No,Yes,No,No,2.2,3.0,B
63,1064,15,Male,Caucasian,High School,8.7,8,No,Moderate,No,Yes,No,No,2.4,3.0,B
64,1065,17,Male,Caucasian,Some College,16.4,3,Yes,Very High,No,No,No,No,3.3,1.0,F
65,1066,16,Male,African American,High School,18.1,6,Yes,High,Yes,No,No,No,3.3,1.0,F
66,1067,18,Male,Caucasian,Higher,2.4,23,No,High,No,Yes,No,No,1.0,4.0,A
67,1068,15,Female,Caucasian,High School,10.6,28,No,None,No,Yes,No,No,0.0,4.0,A
68,1069,18,Female,Other,Some College,5.7,21,Yes,High,No,No,Yes,No,1.3,4.0,A
69,1070,16,Female,Asian,High School,0.9,1,No,Very High,No,No,Yes,No,3.3,1.0,F
70,1071,16,Male,African American,Some College,13.4,6,No,Moderate,Yes,No,No,No,2.9,2.0,D
71,1072,16,Female,African American,High School,17.3,28,No,High,No,No,Yes,Yes,0.7,4.0,A
72,1073,15,Male,African American,High School,3.3,8,No,Moderate,Yes,Yes,No,No,2.6,2.0,D
73,1074,16,Male,Caucasian,Bachelor's,16.2,4,Yes,Moderate,No,No,No,No,3.3,1.0,F
74,1075,15,Female,Caucasian,Bachelor's,17.1,14,No,High,Yes,No,Yes,No,2.2,3.0,B
75,1076,16,Male,Caucasian,Bachelor's,18.3,17,No,High,No,Yes,No,No,1.9,4.0,A
76,1077,18,Male,Caucasian,Some College,5.3,3,No,High,No,No,No,No,2.7,2.0,D
77,1078,18,Female,African American,Bachelor's,18.1,18,Yes,Low,Yes,Yes,No,No,2.1,3.0,B
78,1079,17,Female,Caucasian,None,6.4,19,No,Low,No,No,No,No,1.0,4.0,A
79,1080,18,Female,Other,High School,11.0,25,No,High,No,Yes,No,No,1.0,4.0,A
80,1081,17,Male,Other,High School,1.0,6,No,Low,No,Yes,No,No,2.1,3.0,B
81,1082,18,Female,Asian,Some College,0.9,25,No,Moderate,No,No,No,No,0.5,4.0,A
82,1083,15,Female,African American,High School,14.4,7,No,None,Yes,Yes,No,No,2.5,2.0,D
83,1084,18,Male,Asian,High School,8.9,16,No,Low,No,Yes,No,No,1.5,4.0,A
84,1085,17,Female,Caucasian,Some College,5.1,12,No,High,Yes,Yes,No,No,2.3,3.0,B
85,1086,17,Female,Asian,Bachelor's,3.8,23,No,High,No,No,No,No,1.2,4.0,A
86,1087,16,Female,Caucasian,High School,13.4,20,Yes,Low,Yes,No,Yes,Yes,1.5,4.0,A
87,1088,15,Male,Asian,High School,0.0,27,No,Low,No,No,Yes,No,0.0,4.0,A
88,1089,18,Male,Caucasian,High School,16.1,22,No,None,Yes,No,Yes,No,1.1,4.0,A
89,1090,16,Male,Asian,High School,1.6,10,No,Moderate,No,No,Yes,Yes,2.2,3.0,B
90,1091,18,Male,Other,High School,3.8,26,No,Low,No,No,No,Yes,0.2,4.0,A
91,1092,18,Female,Caucasian,Some College,7.7,0,No,Moderate,Yes,Yes,No,No,3.5,0.0,F
92,1093,16,Male,Caucasian,Some College,9.7,1,Yes,High,No,No,No,No,3.6,0.0,F
93,1094,16,Male,Other,Some College,7.1,16,Yes,High,No,Yes,No,No,2.2,3.0,B
94,1095,16,Female,Caucasian,High School,6.4,4,No,Low,Yes,Yes,No,No,2.7,2.0,D
95,1096,16,Female,Asian,Bachelor's,19.3,29,No,High,No,No,No,Yes,0.7,4.0,A
96,1097,16,Female,African American,High School,12.8,29,No,Very High,No,No,Yes,No,1.0,4.0,A
97,1098,18,Male,Caucasian,Some College,0.5,5,No,Moderate,No,Yes,No,No,2.6,2.0,D
98,1099,16,Male,Caucasian,Bachelor's,8.6,25,No,Moderate,Yes,No,Yes,Yes,0.7,4.0,A
99,1100,15,Male,Caucasian,High School,17.5,24,No,Moderate,No,No,No,No,0.7,4.0,A
100,1101,17,Female,Asian,High School,6.0,23,Yes,Low,Yes,Yes,No,Yes,1.3,4.0,A
101,1102,16,Female,Caucasian,Bachelor's,1.9,6,No,High,Yes,No,Yes,Yes,2.5,2.0,D
102,1103,16,Male,African American,High School,15.2,27,No,High,Yes,Yes,No,No,0.9,4.0,A
103,1104,18,Female,Caucasian,Some College,12.1,20,Yes,Moderate,No,Yes,No,No,1.5,4.0,A
104,1105,16,Female,African American,None,11.4,29,No,High,Yes,No,No,No,0.6,4.0,A
105,1106,16,Female,Asian,Some College,1.1,14,No,High,No,Yes,Yes,Yes,2.0,3.0,B
106,1107,16,Male,Other,High School,2.8,18,No,None,Yes,No,No,Yes,0.8,4.0,A
107,1108,18,Female,Caucasian,None,12.5,15,No,Low,No,Yes,No,No,1.5,4.0,A
108,1109,16,Female,Asian,Some College,4.2,24,Yes,High,Yes,Yes,No,No,1.5,4.0,A
109,1110,17,Male,Asian,High School,10.1,12,Yes,Very High,No,No,No,No,2.6,2.0,D
110,1111,18,Male,African American,High School,10.9,4,Yes,High,No,No,No,No,3.2,1.0,F
111,1112,17,Female,Other,None,5.7,2,Yes,Very High,No,No,Yes,No,3.5,0.0,F
112,1113,18,Female,Caucasian,High School,19.0,2,No,Moderate,No,No,No,No,3.1,1.0,F
113,1114,16,Male,Caucasian,High School,16.8,18,Yes,Low,No,Yes,Yes,No,1.9,4.0,A
114,1115,17,Male,Asian,None,14.4,13,Yes,Moderate,No,No,No,No,2.2,3.0,B
115,1116,18,Female,Caucasian,Bachelor's,1.6,15,No,None,No,No,No,Yes,0.9,4.0,A
116,1117,15,Female,Asian,None,2.1,21,No,High,Yes,No,Yes,No,1.3,4.0,A
117,1118,16,Female,Asian,Some College,9.9,16,No,Very High,No,No,No,No,1.8,4.0,A
118,1119,18,Female,Caucasian,High School,3.2,26,No,High,No,Yes,No,No,0.6,4.0,A
119,1120,15,Male,Asian,High School,19.6,3,No,Moderate,Yes,No,Yes,Yes,3.6,0.0,F
120,1121,18,Female,Caucasian,Bachelor's,3.2,12,Yes,Low,Yes,Yes,No,No,2.2,3.0,B
121,1122,15,Female,African American,High School,9.7,7,Yes,Low,No,Yes,Yes,No,3.0,2.0,D
122,1123,16,Male,African American,Higher,7.3,18,No,Moderate,No,No,No,No,1.0,4.0,A
123,1124,17,Female,Other,High School,12.8,4,No,High,No,No,No,No,3.1,1.0,F
124,1125,15,Male,Caucasian,Some College,2.6,1,Yes,Moderate,Yes,No,Yes,No,3.5,1.0,F
125,1126,18,Female,Caucasian,Some College,8.6,14,No,Very High,Yes,No,No,No,2.6,2.0,D
126,1127,16,Female,African American,Bachelor's,5.5,1,No,High,Yes,No,No,No,3.5,0.0,F
127,1128,15,Male,Asian,Some College,17.8,10,Yes,Low,No,Yes,No,No,2.8,2.0,D
128,1129,18,Male,African American,Some College,0.8,12,Yes,Low,Yes,Yes,No,No,2.0,3.0,B
129,1130,18,Female,Caucasian,High School,18.3,22,Yes,High,No,No,No,No,1.4,4.0,A
130,1131,18,Female,Caucasian,High School,16.7,9,No,Low,No,No,No,No,2.1,3.0,B
131,1132,15,Female,Caucasian,Bachelor's,6.0,2,No,High,No,No,No,No,3.0,1.0,F
132,1133,15,Male,Asian,High School,15.8,4,Yes,Moderate,No,Yes,No,No,3.6,0.0,F
133,1134,15,Female,Caucasian,High School,0.6,2,No,Low,Yes,No,No,No,2.4,3.0,B
134,1135,17,Male,Caucasian,Some College,19.3,5,Yes,Moderate,Yes,No,No,No,3.2,1.0,F
135,1136,15,Male,Other,High School,10.5,12,No,Moderate,Yes,No,No,No,2.1,3.0,B
136,1137,15,Female,Caucasian,Higher,6.1,9,No,High,No,Yes,No,No,2.2,3.0,B
137,1138,15,Male,Other,Some College,7.3,18,No,None,Yes,No,Yes,Yes,1.2,4.0,A
138,1139,17,Female,African American,Some College,1.3,7,No,High,Yes,No,No,No,2.7,2.0,D
139,1140,15,Female,Asian,Bachelor's,19.8,17,Yes,High,No,No,No,No,2.2,3.0,B
140,1141,18,Female,Caucasian,None,0.8,2,No,High,Yes,No,No,No,3.1,1.0,F
141,1142,15,Female,Caucasian,High School,13.1,23,Yes,None,Yes,Yes,No,No,1.0,4.0,A
142,1143,18,Female,Asian,Some College,8.9,23,Yes,High,No,No,No,No,0.8,4.0,A
143,1144,18,Male,Asian,High School,19.0,16,No,Moderate,Yes,No,Yes,No,2.0,3.0,B
144,1145,18,Male,Asian,Some College,4.9,7,Yes,Moderate,Yes,Yes,No,No,2.4,3.0,B
145,1146,17,Female,Caucasian,Bachelor's,10.6,9,No,High,Yes,No,No,No,2.7,2.0,D
146,1147,17,Female,Asian,Some College,9.6,1,Yes,Moderate,Yes,No,No,Yes,3.6,0.0,F
147,1148,17,Male,Asian,High School,14.1,11,No,High,No,Yes,No,No,2.3,3.0,B
148,1149,15,Male,African American,Higher,1.4,22,No,Low,Yes,Yes,No,Yes,1.0,4.0,A
149,1150,18,Male,Asian,Some College,3.9,5,No,High,Yes,No,No,No,2.9,2.0,D
150,1151,17,Male,Asian,Some College,4.3,1,No,Low,No,Yes,Yes,No,2.8,2.0,D
151,1152,17,Female,African American,High School,14.8,20,Yes,High,No,Yes,No,No,1.8,4.0,A
152,1153,15,Female,Caucasian,Bachelor's,3.8,22,No,Very High,Yes,No,No,Yes,1.1,4.0,A
153,1154,17,Male,Caucasian,Some College,11.5,23,No,Moderate,No,No,No,No,1.0,4.0,A
154,1155,15,Female,Caucasian,Some College,4.3,2,No,Moderate,Yes,No,No,No,3.1,1.0,F
155,1156,16,Male,Caucasian,Bachelor's,17.2,16,Yes,High,Yes,Yes,No,No,2.6,2.0,D
156,1157,17,Female,Caucasian,High School,18.8,28,No,None,No,Yes,Yes,Yes,0.5,4.0,A
157,1158,16,Male,Caucasian,Some College,10.4,6,No,Moderate,No,No,No,No,2.8,2.0,D
158,1159,15,Female,Caucasian,Bachelor's,7.0,28,No,Moderate,No,No,No,No,0.2,4.0,A
159,1160,18,Male,Caucasian,High School,4.7,20,No,High,No,No,No,Yes,1.2,4.0,A
160,1161,17,Male,Asian,Some College,1.0,4,Yes,High,Yes,No,No,Yes,3.4,1.0,F
161,1162,15,Female,Other,Bachelor's,5.4,22,Yes,High,No,No,No,No,1.3,4.0,A
162,1163,18,Male,Caucasian,Some College,13.1,0,Yes,High,No,No,Yes,Yes,3.7,0.0,F
163,1164,18,Female,Other,Some College,10.7,7,No,High,Yes,No,No,No,2.7,2.0,D
164,1165,16,Female,African American,Bachelor's,18.9,11,Yes,Moderate,Yes,No,No,No,2.4,3.0,B
165,1166,15,Male,Caucasian,Bachelor's,7.9,13,No,Moderate,No,Yes,No,No,1.6,4.0,A
166,1167,18,Female,Caucasian,High School,13.9,15,Yes,Moderate,Yes,Yes,No,No,2.5,2.0,D
167,1168,17,Female,African American,None,9.8,9,No,Very High,No,Yes,No,No,2.3,3.0,B
168,1169,17,Female,Asian,Some College,10.3,14,No,High,Yes,No,No,No,2.3,3.0,B
169,1170,16,Female,Asian,Some College,5.4,20,No,Moderate,No,Yes,No,No,1.3,4.0,A
170,1171,18,Female,Caucasian,Some College,9.1,23,No,High,No,Yes,No,No,0.9,4.0,A
171,1172,15,Male,Caucasian,Some College,9.4,25,No,Moderate,Yes,No,No,Yes,0.8,4.0,A
172,1173,17,Female,Caucasian,High School,14.1,14,Yes,High,No,No,No,No,2.3,3.0,B
173,1174,18,Female,Caucasian,Some College,18.8,9,No,Moderate,No,Yes,No,No,2.7,2.0,D
174,1175,18,Female,Caucasian,High School,6.6,20,Yes,Low,Yes,No,No,No,1.5,4.0,A
175,1176,16,Female,Caucasian,Some College,0.8,27,No,High,Yes,No,No,No,0.2,4.0,A
176,1177,17,Female,Asian,Some College,9.9,6,No,High,No,No,No,No,2.7,2.0,D
177,1178,17,Male,Other,High School,10.9,25,Yes,Moderate,Yes,No,Yes,No,1.1,4.0,A
178,1179,15,Female,Caucasian,High School,3.4,2,No,Moderate,Yes,No,No,No,2.6,2.0,D
179,1180,17,Male,Other,Some College,15.2,1,No,High,Yes,No,No,Yes,3.3,1.0,F
180,1181,15,Male,Caucasian,Some College,19.7,5,Yes,High,No,No,No,No,3.2,1.0,F
181,1182,17,Male,Caucasian,High School,18.9,20,No,High,Yes,No,No,No,1.7,4.0,A
182,1183,16,Male,Caucasian,Higher,3.9,8,No,Moderate,Yes,Yes,No,No,2.3,3.0,B
183,1184,17,Female,African American,Some College,17.5,9,Yes,Very High,Yes,Yes,No,No,3.3,1.0,F
184,1185,15,Male,Other,Higher,14.1,3,No,High,No,No,No,No,3.0,2.0,D
185,1186,15,Male,African American,Some College,9.1,26,Yes,High,Yes,No,No,No,0.9,4.0,A
186,1187,16,Female,Caucasian,Some College,10.8,2,No,High,No,No,No,No,3.0,2.0,D
187,1188,17,Female,African American,Bachelor's,17.0,8,No,Low,Yes,No,No,No,2.7,2.0,D
188,1189,17,Female,Caucasian,Some College,9.6,23,No,None,Yes,Yes,No,No,1.2,4.0,A
189,1190,16,Male,Asian,Some College,7.5,21,Yes,High,No,No,No,No,1.4,4.0,A
190,1191,17,Female,African American,High School,9.9,16,No,Moderate,No,No,No,Yes,1.5,4.0,A
191,1192,17,Female,Caucasian,Some College,11.6,13,Yes,High,No,No,No,No,2.2,3.0,B
192,1193,15,Male,African American,High School,3.8,9,No,Moderate,Yes,No,No,No,2.1,3.0,B
193,1194,17,Female,African American,High School,18.0,12,No,Moderate,No,No,No,No,2.3,3.0,B
194,1195,17,Female,Caucasian,None,13.5,11,Yes,Low,Yes,No,Yes,No,2.8,2.0,D
195,1196,16,Female,African American,None,12.7,26,No,High,Yes,Yes,No,No,0.9,4.0,A
196,1197,16,Female,Caucasian,Higher,2.0,0,No,Low,Yes,No,No,Yes,3.1,1.0,F
197,1198,18,Male,Asian,High School,12.1,27,No,High,Yes,No,Yes,No,1.3,4.0,A
198,1199,15,Female,Asian,Some College,2.4,21,No,Moderate,No,No,No,No,0.6,4.0,A
199,1200,17,Female,Asian,Bachelor's,1.6,28,No,High,Yes,No,No,No,0.6,4.0,A
200,1201,17,Male,African American,Some College,10.5,18,No,Low,No,No,Yes,No,1.6,4.0,A
201,1202,18,Female,African American,High School,8.1,18,No,Low,No,No,No,No,1.2,4.0,A
202,1203,17,Male,Caucasian,Some College,11.8,5,No,High,No,Yes,No,Yes,3.0,2.0,D
203,1204,15,Female,Asian,Some College,1.8,12,No,Moderate,Yes,No,No,No,2.0,3.0,B
204,1205,18,Male,Caucasian,Some College,8.6,18,No,Low,Yes,No,No,No,1.1,4.0,A
205,1206,15,Male,Caucasian,Some College,3.5,12,Yes,Very High,No,No,No,No,2.2,3.0,B
206,1207,18,Male,Caucasian,Higher,19.7,26,Yes,Low,Yes,No,No,No,0.9,4.0,A
207,1208,18,Male,Caucasian,Some College,11.2,25,No,Moderate,Yes,No,No,No,0.6,4.0,A
208,1209,16,Female,African American,High School,13.7,21,No,Low,No,No,No,No,1.0,4.0,A
209,1210,15,Male,Caucasian,Some College,6.5,20,Yes,Moderate,Yes,No,Yes,Yes,1.7,4.0,A
210,1211,17,Female,Asian,None,1.9,3,No,Moderate,No,No,Yes,No,2.8,2.0,D
211,1212,17,Male,Caucasian,Bachelor's,19.5,23,No,Low,No,No,Yes,Yes,0.2,4.0,A
212,1213,15,Male,Caucasian,High School,5.7,1,No,High,Yes,No,No,No,3.3,1.0,F
213,1214,17,Male,African American,High School,8.5,14,Yes,Moderate,No,No,No,No,1.9,4.0,A
214,1215,17,Female,Caucasian,Bachelor's,13.0,11,No,High,No,No,No,No,2.0,3.0,B
215,1216,15,Male,Caucasian,Some College,0.5,29,Yes,Low,Yes,No,No,No,0.1,4.0,A
216,1217,18,Female,Asian,High School,16.2,26,Yes,Moderate,Yes,No,No,No,1.3,4.0,A
217,1218,15,Female,Caucasian,Some College,10.7,6,No,None,Yes,No,Yes,No,2.6,2.0,D
218,1219,18,Female,Asian,Bachelor's,5.6,19,Yes,High,No,No,No,No,1.5,4.0,A
219,1220,17,Female,Caucasian,High School,1.2,17,No,High,No,No,No,No,1.5,4.0,A
220,1221,17,Female,Caucasian,Bachelor's,3.2,22,No,High,Yes,Yes,No,Yes,1.7,4.0,A
221,1222,17,Female,Asian,None,17.9,12,No,Moderate,No,Yes,No,Yes,2.3,3.0,B
222,1223,16,Female,Caucasian,Some College,13.7,16,No,High,No,No,Yes,No,2.0,4.0,A
223,1224,18,Female,Caucasian,Bachelor's,5.0,3,No,High,No,No,No,No,2.6,2.0,D
224,1225,16,Female,Caucasian,High School,1.3,24,No,None,Yes,No,No,No,0.8,4.0,A
225,1226,16,Male,Caucasian,Some College,13.8,13,No,Low,No,No,Yes,No,1.8,4.0,A
226,1227,15,Male,Asian,High School,11.4,19,No,Moderate,No,No,No,No,0.9,4.0,A
227,1228,16,Male,Caucasian,Some College,8.1,27,No,High,No,Yes,No,No,0.8,4.0,A
228,1229,15,Male,Asian,Some College,7.3,12,Yes,None,No,No,No,No,1.4,4.0,A
229,1230,15,Male,Asian,Some College,4.3,2,No,High,No,Yes,No,No,3.3,1.0,F
230,1231,16,Female,Caucasian,High School,13.4,25,No,Moderate,No,No,No,No,0.8,4.0,A
231,1232,18,Female,Other,High School,19.4,25,No,Moderate,No,No,No,No,0.7,4.0,A
232,1233,18,Female,Caucasian,None,3.5,17,No,Low,No,Yes,No,Yes,1.4,4.0,A
233,1234,18,Female,Other,High School,11.9,13,No,Moderate,No,Yes,No,Yes,2.0,4.0,A
234,1235,18,Female,Caucasian,Some College,8.5,14,No,None,No,Yes,No,No,1.6,4.0,A
235,1236,18,Female,African American,Bachelor's,8.9,2,No,None,No,Yes,No,No,2.5,2.0,D
236,1237,16,Female,Caucasian,Some College,5.1,0,No,High,No,No,Yes,No,3.0,2.0,D
237,1238,16,Male,Caucasian,Some College,16.5,25,Yes,Moderate,No,No,Yes,No,1.3,4.0,A
238,1239,17,Male,African American,Higher,9.7,23,Yes,Moderate,No,No,No,No,1.4,4.0,A
239,1240,18,Male,Asian,Some College,10.9,16,No,Low,Yes,No,Yes,No,1.6,4.0,A
240,1241,16,Male,Caucasian,Bachelor's,6.1,2,Yes,Moderate,No,Yes,No,No,3.1,1.0,F
241,1242,17,Female,Caucasian,Some College,3.6,13,No,None,Yes,Yes,No,No,1.6,4.0,A
242,1243,18,Female,Asian,High School,1.7,2,No,Moderate,No,Yes,No,No,2.6,2.0,D
243,1244,15,Female,African American,None,14.3,12,Yes,Moderate,No,No,No,No,2.4,3.0,B
244,1245,17,Male,Other,Some College,3.9,14,No,Moderate,Yes,No,No,No,1.9,4.0,A
245,1246,16,Female,Asian,High School,13.8,17,No,Very High,No,Yes,No,No,2.1,3.0,B
246,1247,15,Female,Other,High School,7.8,13,No,Moderate,No,No,No,No,1.7,4.0,A
247,1248,15,Female,Asian,Some College,8.3,20,No,Moderate,Yes,No,No,No,1.0,4.0,A
248,1249,15,Male,Caucasian,Some College,9.4,25,No,Moderate,No,Yes,No,No,1.2,4.0,A
249,1250,17,Female,Caucasian,Some College,7.4,2,No,Low,No,No,Yes,No,2.6,2.0,D
250,1251,16,Male,Asian,High School,2.0,18,No,High,No,Yes,No,No,1.2,4.0,A
251,1252,15,Male,African American,High School,6.2,7,No,Moderate,Yes,No,No,No,2.1,3.0,B
252,1253,18,Male,Caucasian,Some College,13.3,3,Yes,Low,Yes,No,No,No,2.9,2.0,D
253,1254,15,Male,Caucasian,Higher,13.3,3,No,High,No,No,No,Yes,3.1,1.0,F
254,1255,15,Female,Other,Some College,5.7,18,Yes,None,No,No,No,No,1.0,4.0,A
255,1256,17,Male,African American,Bachelor's,9.2,10,No,Very High,Yes,No,No,Yes,2.4,3.0,B
256,1257,17,Male,Caucasian,Some College,3.9,0,Yes,High,No,No,No,No,3.2,1.0,F
257,1258,16,Female,Caucasian,Some College,4.2,7,Yes,Moderate,No,Yes,Yes,No,2.7,2.0,D
258,1259,18,Female,Caucasian,High School,0.5,14,No,Low,Yes,Yes,No,No,1.5,4.0,A
259,1260,17,Male,Caucasian,Some College,17.9,0,No,Low,No,No,No,No,3.5,1.0,F
260,1261,15,Female,Caucasian,Some College,4.2,6,No,Low,Yes,No,No,No,2.3,3.0,B
261,1262,16,Male,Caucasian,Some College,4.6,20,Yes,Low,Yes,No,No,No,1.3,4.0,A
262,1263,15,Male,Asian,Some College,5.6,19,No,Moderate,Yes,Yes,No,Yes,1.5,4.0,A
263,1264,15,Male,Caucasian,Some College,2.5,19,No,Very High,No,No,Yes,Yes,1.4,4.0,A
264,1265,17,Male,Asian,High School,12.8,23,No,Moderate,No,No,No,No,0.8,4.0,A
265,1266,16,Female,Asian,Some College,1.5,10,Yes,High,No,No,No,No,2.2,3.0,B
266,1267,18,Male,Caucasian,High School,2.7,26,No,High,No,No,No,No,0.6,4.0,A
267,1268,18,Female,African American,Bachelor's,12.9,28,No,High,No,No,No,No,0.6,4.0,A
268,1269,17,Female,Caucasian,High School,6.8,13,No,None,No,Yes,Yes,Yes,1.6,4.0,A
269,1270,17,Female,Asian,None,14.2,21,Yes,Moderate,No,Yes,No,No,1.0,4.0,A
270,1271,16,Female,Caucasian,Some College,11.1,15,No,High,No,No,No,No,1.7,4.0,A
271,1272,18,Male,African American,Some College,5.1,13,No,High,No,No,No,Yes,1.5,4.0,A
