brand,perfume,type,category,target_audience,longevity
Rayhaan,Pacific,EDP,Fresh Aquatic,Unisex,Medium
Rayhaan,Lion,EDP,Woody Spicy,Unisex,Medium
Rayhaan,Imperia intense,EDP,Woody Spicy,Unisex,Strong
Rayhaan,Royal wood,EDP,Woody,Unisex,Medium
Rayhaan,Fresh wave,EDP,Fresh Aquatic,Unisex,Medium
Rayhaan,Ocean rush,EDP,Fresh Aquatic,Unisex,Medium
Swiss arabian,Shagaf vanilla toffee,EDP,Gourmand Sweet,Unisex,Strong
Swiss arabian,Shagaf oud,EDP,Oud Spicy,Unisex,Strong
Ard al zaafaran,Bint hooran,EDP,Floral Oriental,Female,Medium
Zimaya,Stallion,EDP,Woody Spicy,Male,Medium
Al rehab,Choco musk,EDP,Gourmand Sweet,Unisex,Medium
Zimaya,Itqan noir,EDP,Woody Aromatic,Male,Strong
Zimaya,Tiramisu coco,EDP,Gourmand Dessert,Unisex,Medium
Zimaya,Tiramisu caramel,EDP,Gourmand Dessert,Unisex,Medium
Zimaya,Mazaaj infused,EDP,Woody Floral,Unisex,Medium
Zimaya,Rabab,EDP,Fruity Floral,Female,Medium
Paris corner,Atoof,EDP,Woody Oriental,Unisex,Strong
Paris corner,Autobiography - citron vanille,EDP,Citrus Gourmand,Unisex,Medium
Paris corner,Autobiography - salty breeze,EDP,Fresh Aquatic,Male,Medium
Paris corner,Citron vanille,EDP,Citrus Sweet,Female,Medium
Paris corner,Cosmopolitan dubai,EDP,Oriental Spicy,Unisex,Strong
Paris corner,Choco cult,EDP,Gourmand Chocolate,Unisex,Strong
Paris corner,Date caramel,EDP,Sweet Gourmand,Unisex,Strong
Paris corner,December vanilla,EDP,Vanilla Gourmand,Unisex,Medium
Paris corner,Emir - a chaos in the ocean,EDP,Fresh Aquatic,Unisex,Medium
Paris corner,Emir - a walk on dirt,EDP,Woody Earthy,Unisex,Medium
Paris corner,Emir - camp fire,EDP,Smoky Leather,Unisex,Strong
Paris corner,Emir - celestial,EDP,Amber Woody,Unisex,Strong
Paris corner,Emir - fascination,EDP,Oriental Spicy,Unisex,Strong
Paris corner,Emir - fire your desire,EDP,Spicy Amber,Unisex,Strong
Paris corner,Emir - frenetic delicious,EDP,Sweet Fruity,Unisex,Medium
Paris corner,Emir - frenetic homme intense,EDP,Woody Spicy,Male,Strong
Paris corner,Emir - frenetic men,EDP,Fresh Spicy,Male,Medium
Paris corner,Emir - frenetic tobacco honey,EDP,Sweet Tobacco,Unisex,Strong
Paris corner,Emir - juicy melange,EDP,Fruity Citrus,Unisex,Medium
Paris corner,Emir - just bergamot,EDP,Citrus Fresh,Unisex,Medium
Paris corner,Emir - mango punch,EDP,Fruity Tropical,Unisex,Medium
Paris corner,Emir - pear potion,EDP,Fruity Sweet,Unisex,Medium
Paris corner,Emir - resurrection,EDP,Woody Oriental,Unisex,Strong
Paris corner,Emir - rich santal,EDP,Woody Creamy,Unisex,Strong
Paris corner,Emir - smoky leather,EDP,Leather Smoky,Unisex,Strong
Paris corner,Emir - trillium,EDP,Woody Floral,Unisex,Medium
Paris corner,Emir - triumphant sapphire,EDP,Woody Spicy,Unisex,Strong
Paris corner,Emir - ultra citrus,EDP,Citrus Fresh,Unisex,Medium
Paris corner,Emir - vertex,EDP,Woody Spicy,Male,Strong
Paris corner,Emir - vibrant delight,EDP,Sweet Fruity,Unisex,Medium
Paris corner,Emir - vibrant orange & neroli,EDP,Citrus Floral,Unisex,Medium
Paris corner,Emir - cedrat essence,EDP,Citrus Fresh,Unisex,Medium
Paris corner,Eternal musk,EDP,Musky Floral,Unisex,Medium
Paris corner,Identity - oud crescent,EDP,Oud Oriental,Unisex,Strong
Paris corner,Identity - rose & leather,EDP,Floral Leather,Unisex,Strong
Paris corner,Kaheela lux,EDP,Amber Spicy,Female,Strong
Paris corner,Khair,EDP,Sweet Floral,Female,Medium
Paris corner,Khair confection,EDP,Sweet Gourmand,Female,Medium
Paris corner,Khair felicity,EDP,Floral Sweet,Female,Medium
Paris corner,Khair fusion,EDP,Floral Fruity,Female,Medium
Paris corner,Khair pistachio,EDP,Gourmand Nutty,Unisex,Medium
Paris corner,Killer oud - death by oud,EDP,Oud Smoky,Unisex,Strong
Paris corner,Killer oud - midnight ecstasy,EDP,Amber Oud,Unisex,Strong
Paris corner,Marshmallow blush,EDP,Sweet Gourmand,Female,Medium
Paris corner,Mawj moscow mule,EDP,Citrus Fresh,Unisex,Medium
Paris corner,Ministry of gourmand - banana bliss,EDP,Fruity Gourmand,Unisex,Medium
Paris corner,Ministry of gourmand - tiramisu specoloo,EDP,Dessert Gourmand,Unisex,Medium
Paris corner,Ministry series - amber oud,EDP,Amber Oud,Unisex,Strong
Paris corner,Ministry series - oud royal,EDP,Oud Spicy,Unisex,Strong
Paris corner,Ministry series - oud satin,EDP,Oud Sweet,Unisex,Strong
Paris corner,Ministry series - oud indonesian,EDP,Oud Woody,Unisex,Strong
Paris corner,North stag - neuf ix (9),EDP,Woody Spicy,Male,Strong
Paris corner,North stag - sept vii (7),EDP,Woody Aromatic,Male,Medium
Paris corner,North stag - huit viii (8),EDP,Woody Oriental,Male,Strong
Paris corner,North stag - phenomenal quatorze xiv (14),EDP,Oriental Spicy,Male,Strong
Paris corner,North stag expressions - i (une/1),EDP,Woody Fresh,Unisex,Medium
Paris corner,North stag expressions - ii (deux/2),EDP,Woody Oriental,Unisex,Strong
Paris corner,North stag expressions - iii (trois/3),EDP,Oriental Spicy,Unisex,Strong
Paris corner,North stag expressions - iv (quatre/4),EDP,Amber Woody,Unisex,Strong
Paris corner,Prive zarah - barcode signature,EDP,Woody Aromatic,Male,Medium
Paris corner,Prive zarah - blend afgano,EDP,Oud Oriental,Unisex,Strong
Paris corner,Prive zarah - bois dores,EDP,Woody Amber,Unisex,Strong
Paris corner,Prive zarah - why,EDP,Fresh Spicy,Male,Medium
Paris corner,Qissa (pink),EDP,Fruity Floral,Female,Medium
Paris corner,Qissa delicious,EDP,Sweet Fruity,Female,Medium
Paris corner,Rifaqat,EDP,Amber Spicy,Unisex,Strong
Paris corner,Rifaqat adorn,EDP,Floral Oriental,Female,Medium
Paris corner,Salty breeze,EDP,Fresh Aquatic,Unisex,Medium
Paris corner,Soothing zephyr,EDP,Fresh Aromatic,Unisex,Medium
Paris corner,Taskeen caramel,EDP,Sweet Gourmand,Unisex,Medium
Paris corner,Taskeen marina,EDP,Fresh Aquatic,Unisex,Medium
Paris corner,Voux - blue oud,EDP,Oud Woody,Unisex,Strong
Paris corner,Voux - elegante,EDP,Floral Oriental,Female,Medium
Paris corner,Voux - voilette,EDP,Floral Powdery,Female,Medium
Paris corner,Voux - zeste,EDP,Citrus Fresh,Unisex,Medium
Paris corner,Voux - zingy,EDP,Fruity Citrus,Unisex,Medium
Afnan,9 am dive,EDP,Fresh Scent,Unisex,Medium
Afnan,9 am pour femme,EDP,Fresh Scent,Female,Medium
Afnan,9 am pour homme,EDP,Fresh Scent,Male,Medium
Afnan,9 pm,EDP,Mass Pleaser,Unisex,Medium
Afnan,9 pm rebel,EDP,Woody Fruity,Male,Strong
Afnan,Cherry bouquet,EDP,Fruity Gourmand,Female,Medium
Afnan,Abstract portrait,EDP,Oriental Fougere,Unisex,Strong
Afnan,Fatima pink,Extrait de Parfum,Floral Fruity,Female,Medium
Afnan,Fatima velvet love,EDP,Floral Gourmand,Female,Medium
Afnan,Historic olmeda,EDP,Aromatic Spicy,Unisex,Medium
Afnan,Historic sahara,EDP,Oriental Vanilla,Unisex,Strong
Afnan,Modest deux,EDP,Fresh Scent,Female,Medium
Afnan,Modest une,EDP,Fresh Scent,Female,Medium
Afnan,Mystique bouquet,EDP,Fruity Floral,Female,Medium
Afnan,Penthouse ginza,EDP,Woody Spicy,Male,Medium
Afnan,Pride intense,EDP,Woody Spicy,Male,Medium
Afnan,Rare carbon,EDP,Woody Spicy,Male,Medium
Afnan,Rare reef,EDP,Woody Spicy,Male,Medium
Afnan,Rare tiffany,EDP,Woody Spicy,Male,Medium
Afnan,Supremacy collector's edition,EDP,Woody Spicy,Male,Strong
Afnan,Supremacy silver,EDP,Woody Spicy,Male,Medium
Afnan,Supremacy in heaven,EDP,Woody Spicy,Male,Medium
Afnan,Supremacy in oud,EDP,Woody Spicy,Male,Strong
Afnan,Supremacy not only intense,EDP,Woody Spicy,Male,Strong
Afnan,Theoreme,EDP,Woody Spicy,Unisex,Medium
Afnan,Theoreme matrix,EDP,Woody Spicy,Unisex,Medium
Afnan,Theoreme pour femme,EDP,Woody Spicy,Female,Medium
Afnan,Turathi blue,EDP,Woody Spicy,Male,Medium
Afnan,Turathi brown,EDP,Woody Spicy,Male,Medium
Afnan,Turathi electric,EDP,Woody Spicy,Male,Medium
Xerjoff,Accento,EDP,Chypre Floral Fruity,Unisex,Strong
Xerjoff,Mefisto gentiluomo,EDP,Woody Aromatic,Unisex,Medium
Xerjoff,Erba pura,EDP,Fruity Musk,Unisex,Strong
Xerjoff,More than words,EDP,Floral Oriental,Female,Medium
Xerjoff,Naxos,EDP,Oriental Fougere Gourmand,Unisex,Strong
Xerjoff,Starlight,EDP,Gourmand Spicy,Unisex,Medium
Xerjoff,Wardasina,EDP,Woody Floral,Unisex,Medium
Xerjoff,Zaffiro,EDP,Citrus Floral,Unisex,Medium
Xerjoff,Uden,EDP,Woody Oriental,Unisex,Strong
Xerjoff,Richwood,EDP,Woody Spicy,Unisex,Strong
Xerjoff,1861 naxos,EDP,Oriental Spicy,Unisex,Strong
Xerjoff,Alexandria ii,EDP,Amber Oriental,Unisex,Strong
Xerjoff,Lira,EDP,Floral Fruity,Female,Medium
Xerjoff,Join the club,EDP,Citrus Woody,Unisex,Medium
Xerjoff,Gloria,EDP,Floral Fruity,Female,Medium
Xerjoff,Vol de nuit,EDP,Oriental Spicy,Unisex,Strong
Xerjoff,Nio,EDP,Fruity Citrus,Unisex,Medium
Xerjoff,Romeo,EDP,Woody Spicy,Male,Strong
Paco rabanne,Phantom,Parfum,Woody Aromatic,Unisex,Strong
Paco rabanne,Fame,Parfum,Floriental,Female,Strong
Paco rabanne,Invictus victory elixir,Parfum,Amber Spicy,Male,Strong
Paco rabanne,Invictus legend,Parfum,Woody Spicy,Male,Strong
Paco rabanne,Invictus platinum,Parfum,Aromatic Fougere,Male,Strong
Paco rabanne,Lady million,Parfum,Floriental,Female,Medium
Paco rabanne,1 million eau de toilette,EDT,Woody Spicy,Male,Medium
Paco rabanne,1 million fabulous,Parfum,Amber Spicy,Male,Medium
Paco rabanne,1 million lucky,Parfum,Woody Fruity,Male,Strong
Paco rabanne,1 million prive,Parfum,Amber Spicy,Male,Strong
Paco rabanne,1 million royal,Parfum,Amber Woody,Male,Medium
Paco rabanne,Phantom legion,Parfum,Woody Aromatic,Unisex,Strong
Paco rabanne,Phantom pour homme,Parfum,Woody Aromatic,Unisex,Strong
Paco rabanne,Pure xs,Parfum,Amber Spicy,Male,Strong
Paco rabanne,Pure xs for her,Parfum,Floriental,Female,Strong
Jean paul gaultier,Le male,EDT,Amber Spicy,Male,Medium
Jean paul gaultier,Ultra male,EDP,Amber Spicy,Male,Strong
Jean paul gaultier,Le male le parfum,EDP,Amber Woody,Male,Strong
Jean paul gaultier,Le beau,EDT,Woody Aromatic,Male,Medium
Jean paul gaultier,Le beau le parfum,EDP,Woody Amber,Male,Strong
Jean paul gaultier,Le beau paradise garden,EDP,Woody Watery,Male,Medium
Jean paul gaultier,Le male in the navy,EDT,Aromatic Fougere,Male,Medium
Jean paul gaultier,Le male le parfum pride edition,EDP,Amber Woody,Male,Strong
Jean paul gaultier,Le male elixir,EDP,Amber Fougere,Male,Strong
Jean paul gaultier,Le male aviator,EDT,Aromatic Fougere,Male,Medium
Jean paul gaultier,Le male capitaine collector,EDT,Aromatic Fougere,Male,Medium
Jean paul gaultier,Le male on board,EDT,Aromatic Fougere,Male,Medium
Jean paul gaultier,Le male pride 2023,EDP,Amber Woody,Male,Strong
Jean paul gaultier,Le male pride 2024,EDP,Amber Woody,Male,Strong
Jean paul gaultier,Classique,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Classique intense,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Classique essence de parfum,Parfum,Oriental Floral,Female,Strong
Jean paul gaultier,Classique x,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Classique collector,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Classique eau de parfum,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Classique eau de toilette,EDT,Oriental Floral,Female,Medium
Jean paul gaultier,Scandal,EDP,Floriental,Female,Strong
Jean paul gaultier,Scandal by night,EDP,Floriental,Female,Strong
Jean paul gaultier,Scandal a paris,EDP,Floriental,Female,Strong
Jean paul gaultier,Scandal le parfum,Parfum,Floriental,Female,Strong
Jean paul gaultier,Scandal parfum intense,Parfum,Floriental,Female,Strong
Jean paul gaultier,Scandal absolu,Parfum,Floriental,Female,Strong
Jean paul gaultier,Scandal eau de parfum,EDP,Floriental,Female,Strong
Jean paul gaultier,Scandal eau de toilette,EDT,Floriental,Female,Medium
Jean paul gaultier,Le classique,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Le classique essence de parfum,Parfum,Oriental Floral,Female,Strong
Jean paul gaultier,Le classique eau de parfum,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Le classique eau de toilette,EDT,Oriental Floral,Female,Medium
Jean paul gaultier,Le classique collector,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Le classique intense,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Le classique x,EDP,Oriental Floral,Female,Strong
Jean paul gaultier,Le classique eau fraiche,EDT,Oriental Floral,Female,Light
Dior,Sauvage edt,EDT,Aromatic Fougere,Male,Strong
Dior,Sauvage edp,EDP,Aromatic Fougere,Male,Strong
Dior,Sauvage parfum,Parfum,Aromatic Fougere,Male,Strong
Dior,Sauvage elixir,Parfum,Aromatic Fougere,Male,Strong
Dior,Homme intense,EDP,Floriental,Male,Strong
Dior,Homme parfum,Parfum,Floriental,Male,Strong
Dior,J'adore edp,EDP,Floriental,Female,Medium
Dior,J'adore edt,EDT,Floriental,Female,Medium
Dior,J'adore parfum d'eau,EDP,Floriental,Female,Light
Dior,Addict edp,EDP,Oriental Spicy,Female,Strong
Dior,Addict edt,EDT,Oriental Spicy,Female,Medium
Dior,Miss dior edp,EDP,Floriental,Female,Medium
Dior,Miss dior edt,EDT,Floriental,Female,Medium
Dior,Gris dior,EDP,Woody Floral,Unisex,Medium
Dior,Eau noire,EDP,Woody Aromatic,Unisex,Medium
Dior,Fahrenheit,EDT,Leather,Unisex,Strong
Dior,Fahrenheit parfum,Parfum,Leather,Unisex,Strong
Dior,Poison,EDT,Oriental Spicy,Female,Strong
Dior,Poison edp,EDP,Oriental Spicy,Female,Strong
Dior,Poison girl edp,EDP,Floriental,Female,Medium
Dior,Poison girl edt,EDT,Floriental,Female,Medium
Dior,Joy edp,EDP,Floriental,Female,Medium
Dior,Joy intense edp,EDP,Floriental,Female,Medium
Dior,Leather oud,EDP,Leather,Unisex,Strong
Dior,Ambre nuit,EDP,Amber,Unisex,Strong
Dior,Patchouli imperial,EDP,Woody Chypre,Unisex,Strong
Dior,Feve delicieuse,EDP,Gourmand,Unisex,Strong
Dior,Vanilla diorama,EDP,Gourmand,Unisex,Strong
Yves saint laurent,Libre edp,EDP,Floral Amber,Female,Strong
Yves saint laurent,Libre intense edp,EDP,Floral Amber,Female,Strong
Yves saint laurent,Libre l'eau nue edp,EDP,Floral,Female,Medium
Yves saint laurent,Mon paris edp,EDP,Floriental,Female,Medium
Yves saint laurent,Mon paris intensement edp,EDP,Floriental,Female,Strong
Yves saint laurent,Black opium edp,EDP,Ambery Gourmand,Female,Strong
Yves saint laurent,Black opium intense edp,EDP,Ambery Gourmand,Female,Strong
Yves saint laurent,Y edp,EDP,Aromatic Fougere,Male,Strong
Yves saint laurent,Y eau fraiche edt,EDT,Fruity Aromatic,Male,Medium
Yves saint laurent,Y le parfum,Parfum,Aromatic Fougere,Male,Strong
